Reference,Qty,Value,Footprint(assigned),秋月候補(型番/通販コード),備考
J1/J3（組立方向）,2,組立必須注記,RP2350-Zero用ピンソケット,該当なし,メスソケットはキャリアのF.Cu（表面）へ実装する。RP2350-ZeroのUSB-C/BOOT/RUN/LEDがある部品面はキャリアから外側（上）に向ける。USB-C/BOOT側をソケット外側の矢印側（+Y・横5穴列の反対端）に合わせること。部品面をキャリア側へ向ける裏返し実装は禁止（穴が合って見えても電気的に鏡映される）。
J1/J3（Zero側オス・組立方向）,2,組立必須注記,RP2350-Zero本体,該当なし,Zero側のオスピンは部品面と反対側（ピン側）からキャリアの表面ソケットへ挿す。半田付け前に、USB-C/BOOT/RUNが矢印側にあり、BOOT/RUNとLEDが外側から見えることを確認する。
J1/J3,2,RP2350-Zero用ピンソケット(23pin=GPIO20+電源3、2026-08-22訂正版),rp2350_zero_carrier:RP2350_Zero_Header_23p,分割ロングピンソケット FHU-1x42SG / 通販コード105779(1×42、¥80税込) ×2個,2026-08-22訂正: 旧候補103077(FH-1×20)は分割不可の固定1×20と判明し、今回の用途(モジュール1個につき9pin+9pin+5pin=23pinを必要な長さに切って使う)に合わないため105779へ差し替え。105779は単列42pinで秋月商品ページに「カットのために1列を犠牲にすることもありません」=任意の長さに自由にカット可と明記(2026-08-22 WebFetchで確認)。2個で84pin確保、必要数46pin(23pin×2モジュール)に対し十分な余裕。価格¥80(税込)・在庫豊富(43009個、2026-08-22確認)。Waveshare公式wiki寸法図+SwitchScienceピン配置図の2つの独立公式画像で相互確認。左辺9pin(5V/GND/3V3/GP29/28/27/26/GP15/14)は確度高、右辺9pin(GP0-8)・下辺5pin(GP13/12/11/10/9)は標準2.54mmグリッドからの推定(確度中、順序未確認、§8参照)。ピッチ2.54mm・列間15.24mm・穴径1.0mm/パッド径1.6mm。原点=モジュール中心、USB-C/BOOT-RUN側を+Yに向けて実装。発注前に確度中の部分をwiki画像と目視比較必須(実機シルクは既にヘッダー実装済みで読めないため)。J1のGP4とJ3のGP5をUART_MIRROR netで基板内直結(GNDは共通netで自動的に接続)
J1/J3(Zero側オス),2,RP2350-Zero用ピンヘッダー(23pin=GPIO20+電源3を必要な長さに切って使用),(RP2350-Zero本体にはんだ付け。基板側フットプリントなし),ピンヘッダー(オス) PH-1x40SG / 通販コード100167(1×40、¥35税込) ×2個,2026-08-22訂正: 旧候補100078(PH-2×10SG)は秋月商品ページで「2列を1列ずつ折って使用できる」との記載のみで、1列内での任意長カット(ブレイクアウェイ)への言及が無いため、105779と同じ用途(9pin+9pin+5pinに切って使う)には確証不足と判断。任意長カットを明記した単列品100167に差し替え(秋月商品ページに「ニッパなどでカットすれば任意の長さにして使用できます」と明記、2026-08-22 WebFetchで確認)。2個で80pin確保、必要数46pin(23pin×2モジュール)に対し十分な余裕。価格¥35(税込)・在庫8000個(2026-08-22確認)。RP2350-Zeroがヘッダー同梱の場合は購入不要な可能性あり要確認。J1・J3の2モジュール分必要
J2,1,USB-Aメスコネクタ(基板取付・スルーホール),rp2350_zero_carrier:USB_A_Neltron_5075AR-04-WH,Neltron 5075AR-04-WH / 通販コード 100160,実図面ベースでカスタムfootprint作成済み(信号ピン⌀0.92mm丸穴×4・ピッチ2.50/2.00/2.50mm、シェル固定ペグ⌀2.3mm×2・間隔13.14mm・信号ピン列から2.70mmオフセット)。2026-08-22確認: ¥50(税込)・在庫7205点(在庫豊富)
R1,1,22Ω(USB D+直列抵抗),rp2350_zero_carrier:R_Axial_THT_P10.16mm,秋月扱い汎用THT抵抗(型番問わず),1/4W級で可。J1側は**GP12に戻した**(GP14案は誤りだったため取消、旧基板デフォルトと同じ)。footprintはKiCad標準ライブラリ名から自作品に差し替え(ピッチ10.16mm、丸パッド1.6mm/ドリル0.8mm、要現物確認)。2026-08-22再確認: rp2350_zero_carrier.kicad_schでR1のpin1/2に付くラベルはGP12_USB_DPとUSB_A_DPのみで、J3側(GP12/GP13相当)にはUSB_DP/USB_DM系のラベルが一切存在しない(J3はUSB-Aホストを持たない設計、§3.1)ことを確認済み。R1/R2を各1個(計2個・J1側のみ)使用する
R2,1,22Ω(USB D-直列抵抗),rp2350_zero_carrier:R_Axial_THT_P10.16mm_notopsilk,秋月扱い汎用THT抵抗(型番問わず),1/4W級で可。J1側は**GP13に戻した**(GP15案は誤りだったため取消、旧基板デフォルトと同じ)。U1/CINとの物理干渉を避けるためR2だけはB.Cu側へ寝かせて挿入しF.Cu側から半田付けする。基板表面の「MOUNT BOTTOM」表示に従うこと。2026-08-22再確認: R2はGP13_USB_DM/USB_A_DMのみに接続、J3側に相当ネットなし(R1と同じ理由)
F1,1,リセッタブルヒューズ(PTC・ラジアルリード),rp2350_zero_carrier:Fuse_Bourns_MF-R050_Radial,Bourns MF-R050 / 通販コード 112628,型番確定(前回計画書の「MF-R050相当」から確定)。実データシートベースでカスタムfootprint作成済み(ピッチ5.1mm・リード径⌀0.51mm→ドリル0.8mm丸穴)。USB-A電源経路はJ1 5V→F1→U1→SW4→COUT/J2。2026-08-22確認: ¥30(税込)・在庫12285点(在庫豊富)
U1,1,TPS2553DBVR(電流制限付きハイサイドUSBパワースイッチ),rp2350_zero_carrier:TPS2553DBVR,TPS2553DBVR(DBV/SOT-23-6・調達先要確認),ENはVBUS_TPS_INへ直結して常時有効。IN/OUT/GND/EN/FAULT/ILIMのピン番号とランド寸法はTI SLVS841FおよびDBV0006A準拠。FAULTはオープンドレインでR_FAULTにより入力側5Vへプルアップするが現版ではMCUへ未接続の観測用ネット
CIN,1,1uF X7R 16V 0603,rp2350_zero_carrier:C_0603,汎用0603セラミックコンデンサ,TI推奨の入力バイパス0.1uF以上を満たす。U1のIN/GND直近へ実装
